"game_id","opp_bucket","off_rank","def_rank","opponent_team_name","game_id-2","team_id","season","is_home","opponent_team_id","minutes","pts","fgm","fga","fg3m","fg3a","ftm","fta","oreb","dreb","reb","ast","stl","blk","tov","pf","off_rating","def_rating","net_rating","pace","ts_pct","last_updated_at"
"0022500008","Top8 Off / Bottom22 Def","1","24","Nuggets","0022500008",1610612750,"2025-26",True,1610612743,"240:00",114,40,85,10,32,24,29,7,26,33,19,8,9,14,22,"112.9","123.3","-10.4","102.0","0.583","2026-02-05 11:34:10.059681-06"
"0022500013","Top8 Off / Bottom22 Def","1","24","Nuggets","0022500013",1610612750,"2025-26",False,1610612743,"265:00",138,51,104,12,45,24,30,11,36,47,31,10,12,13,27,"117.9","119.3","-1.4","106.87","0.589","2026-02-05 13:33:21.650409-06"
"0022500175","Top8 Off / Bottom22 Def","3","10","Knicks","0022500175",1610612750,"2025-26",False,1610612752,"240:00",114,40,83,19,40,15,17,9,22,31,30,6,2,17,14,"118.8","141.2","-22.5","96.5","0.63","2026-02-05 11:35:36.773004-06"
"0022500232","Top8 Off / Bottom22 Def","1","24","Nuggets","0022500232",1610612750,"2025-26",True,1610612743,"240:00",112,41,88,10,34,20,23,8,32,40,23,9,7,13,27,"109.8","119.4","-9.6","102.5","0.571","2026-02-05 11:37:26.345503-06"
"0022500416","Top8 Off / Bottom22 Def","3","10","Knicks","0022500416",1610612750,"2025-26",True,1610612752,"240:00",115,42,93,15,46,16,23,10,32,42,25,12,9,11,15,"111.7","102.0","9.7","102.5","0.558","2026-02-05 13:33:09.600325-06"
"0022500530","Top8 Off / Bottom22 Def","5","12","Cavaliers","0022500530",1610612750,"2025-26",True,1610612739,"240:00",131,51,89,20,38,9,17,10,35,45,33,8,2,17,21,"124.8","117.3","7.5","104.5","0.679","2026-02-05 13:35:23.461979-06"
"0022500542","Top8 Off / Bottom22 Def","5","12","Cavaliers","0022500542",1610612750,"2025-26",False,1610612739,"240:00",134,51,89,16,32,16,20,11,29,40,31,8,7,15,19,"130.1","141.7","-11.7","103.0","0.685","2026-02-05 13:35:37.023043-06"
"0022500064","Top8 Off / Top8 Def","4","1","Thunder","0022500064",1610612750,"2025-26",False,1610612760,"240:00",105,33,80,17,37,22,37,12,32,44,25,4,5,14,25,"106.1","113.0","-6.9","99.5","0.545","2026-02-05 12:31:47.687245-06"
"0022500293","Top8 Off / Top8 Def","2","8","Celtics","0022500293",1610612750,"2025-26",True,1610612738,"240:00",119,41,83,21,48,16,20,5,32,37,31,3,4,14,16,"124.0","119.8","4.2","96.0","0.648","2026-02-05 12:32:06.629838-06"
"0022500306","Top8 Off / Top8 Def","7","3","Spurs","0022500306",1610612750,"2025-26",True,1610612759,"240:00",125,49,87,17,37,10,13,10,26,36,35,5,NULL,12,16,"133.0","117.9","15.1","94.5","0.674","2026-02-05 12:32:22.189973-06"
"0022500385","Top8 Off / Top8 Def","4","1","Thunder","0022500385",1610612750,"2025-26",True,1610612760,"240:00",112,33,88,13,37,33,47,18,39,57,20,8,6,13,24,"108.7","103.9","4.9","103.0","0.515","2026-02-05 13:32:34.474819-06"
"0022500552","Top8 Off / Top8 Def","7","3","Spurs","0022500552",1610612750,"2025-26",True,1610612759,"240:00",104,39,90,12,39,14,25,12,38,50,23,9,7,9,19,"105.1","103.0","2.1","99.5","0.515","2026-02-05 13:35:48.35694-06"
"0022500591","Top8 Off / Top8 Def","6","5","Rockets","0022500591",1610612750,"2025-26",False,1610612745,"240:00",105,37,80,11,30,20,35,12,33,45,21,7,7,14,27,"107.1","112.2","-5.1","98.0","0.55","2026-02-05 13:36:33.531017-06"
"0022500598","Top8 Off / Top8 Def","7","3","Spurs","0022500598",1610612750,"2025-26",False,1610612759,"240:00",123,42,90,14,34,25,28,12,29,41,22,7,7,11,22,"123.0","127.3","-4.3","99.5","0.601","2026-02-05 14:07:41.212902-06"
"0022500686","Top8 Off / Top8 Def","4","1","Thunder","0022500686",1610612750,"2025-26",True,1610612760,"240:00",123,45,89,22,47,11,18,15,31,46,26,12,7,19,21,"124.2","113.3","11.0","98.5","0.635","2026-02-05 14:10:02.11632-06"
