"game_id","season","team_id","group_quantity","group_id","group_name","opponent_team_id","is_home","game_date","min","plus_minus","pts","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","reb","ast","tov","stl","blk","pf","last_updated_at"
"0022500044","2025-26",1610612750,5,"-203944-1628978-1629675-1630162-1630183-","Randle; DiVincenzo; Reid; Edwards; McDaniels",1610612758,True,"2025-11-15","2.733333",4,11,4,5,"0.8",0,0,"0.0",3,3,"1.0",1,1,0,0,0,3,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-203497-1628978-1629675-1630162-1630183-","Gobert; DiVincenzo; Reid; Edwards; McDaniels",1610612758,True,"2025-11-15","1.8",4,7,3,5,"0.6",1,1,"1.0",0,0,"0.0",3,2,0,0,1,0,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-203944-1628978-1629675-1630183-1642265-","Randle; DiVincenzo; Reid; McDaniels; Dillingham",1610612758,True,"2025-11-15","1.783333",2,6,2,4,"0.5",1,2,"0.5",1,1,"1.0",2,1,0,0,0,0,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-201144-203497-203944-1628978-1630162-","Conley; Gobert; Randle; DiVincenzo; Edwards",1610612758,True,"2025-11-15","1.471667",4,8,2,3,"0.667",1,1,"1.0",3,3,"1.0",2,1,0,0,0,0,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-203944-1628978-1629675-1630162-1642265-","Randle; DiVincenzo; Reid; Edwards; Dillingham",1610612758,True,"2025-11-15","1.45",-4,0,0,2,"0.0",0,2,"0.0",0,0,"0.0",0,0,0,0,0,0,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-201144-203497-1628978-1629675-1641740-","Conley; Gobert; DiVincenzo; Reid; Clark",1610612758,True,"2025-11-15","1.433333",-4,1,0,2,"0.0",0,1,"0.0",1,2,"0.5",0,0,0,0,0,0,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-201144-203944-1628978-1629675-1630162-","Conley; Randle; DiVincenzo; Reid; Edwards",1610612758,True,"2025-11-15","1.415",2,4,2,4,"0.5",0,1,"0.0",0,0,"0.0",1,0,0,1,0,0,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-201144-203944-1629675-1630162-1630183-","Conley; Randle; Reid; Edwards; McDaniels",1610612758,True,"2025-11-15","1.066667",-6,2,1,2,"0.5",0,0,"0.0",0,0,"0.0",0,1,0,0,0,4,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-203497-1628978-1629675-1630183-1642265-","Gobert; DiVincenzo; Reid; McDaniels; Dillingham",1610612758,True,"2025-11-15","0.65",-3,0,0,1,"0.0",0,0,"0.0",0,0,"0.0",0,0,0,0,0,1,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-201144-203944-1628978-1629675-1630183-","Conley; Randle; DiVincenzo; Reid; McDaniels",1610612758,True,"2025-11-15","0.5",-2,0,0,1,"0.0",0,1,"0.0",0,0,"0.0",0,0,0,0,0,0,"2026-02-18 09:31:20.713927-06"
"0022500044","2025-26",1610612750,5,"-201144-203497-1629675-1630162-1630183-","Conley; Gobert; Reid; Edwards; McDaniels",1610612758,True,"2025-11-15","0.266667",0,0,0,0,"0.0",0,0,"0.0",0,0,"0.0",0,0,0,0,0,1,"2026-02-18 09:31:20.713927-06"
"0022500197","2025-26",1610612750,5,"-203497-1628978-1629675-1630183-1642265-","Gobert; DiVincenzo; Reid; McDaniels; Dillingham",1610612758,False,"2025-11-10","2.15",-3,0,0,3,"0.0",0,2,"0.0",0,0,"0.0",2,0,1,1,0,0,"2026-02-18 09:31:12.54707-06"
"0022500197","2025-26",1610612750,5,"-201144-203944-1628978-1629675-1630162-","Conley; Randle; DiVincenzo; Reid; Edwards",1610612758,False,"2025-11-10","2.033333",-1,7,2,5,"0.4",1,4,"0.25",2,2,"1.0",1,0,0,0,0,2,"2026-02-18 09:31:12.54707-06"
"0022500197","2025-26",1610612750,5,"-203497-203944-1630162-1630183-1642265-","Gobert; Randle; Edwards; McDaniels; Dillingham",1610612758,False,"2025-11-10","1.683333",1,4,2,3,"0.667",0,0,"0.0",0,0,"0.0",1,2,1,0,0,1,"2026-02-18 09:31:12.54707-06"
"0022500197","2025-26",1610612750,5,"-201144-203497-203944-1630162-1630183-","Conley; Gobert; Randle; Edwards; McDaniels",1610612758,False,"2025-11-10","1.216667",0,2,0,2,"0.0",0,0,"0.0",2,2,"1.0",1,0,1,1,0,0,"2026-02-18 09:31:12.54707-06"
"0022500197","2025-26",1610612750,5,"-203944-1628978-1629675-1630162-1630183-","Randle; DiVincenzo; Reid; Edwards; McDaniels",1610612758,False,"2025-11-10","1.066667",2,2,0,1,"0.0",0,1,"0.0",2,2,"1.0",2,0,1,0,0,2,"2026-02-18 09:31:12.54707-06"
